AQI Category,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
0,51,1,36,0,51
1,41,1,5,1,41
1,41,1,5,1,41
0,66,1,39,2,66
1,34,1,34,0,20
0,54,1,14,11,54
0,54,1,14,11,54
0,64,1,29,7,64
0,54,1,41,1,54
0,68,2,68,1,58
1,41,1,24,6,41
0,59,1,30,4,59
0,55,1,47,0,55
0,72,1,4,23,72
1,28,1,28,2,28
2,154,5,0,13,154
0,67,1,16,2,67
0,62,1,37,1,62
1,31,1,31,0,17
0,56,1,35,0,56
0,77,2,22,15,77
0,77,2,22,15,77
1,44,1,15,0,44
1,30,1,9,2,30
1,30,1,30,1,15
0,79,3,18,5,79
1,34,1,19,7,34
0,51,1,20,5,51
0,77,1,34,0,77
0,61,1,32,3,61
1,32,1,7,2,32
1,29,0,29,0,25
3,247,3,162,1,247
1,45,1,32,7,45
1,45,1,32,7,45
1,45,1,32,7,45
1,36,1,25,3,36
4,124,2,15,5,124
0,72,1,26,2,72
0,55,0,32,1,55
0,55,0,32,1,55
1,31,0,31,0,25
0,60,1,31,1,60
1,30,1,17,0,30
1,44,1,34,0,44
1,47,1,37,4,47
1,37,0,32,2,37
1,44,1,14,8,44
1,44,1,14,8,44
0,58,2,14,24,58
0,89,3,3,6,89
0,52,2,38,7,52
0,51,1,25,6,51
1,38,1,38,0,13
0,88,2,11,20,88
0,54,1,31,3,54
1,44,1,28,3,44
0,51,1,26,6,51
0,67,2,15,23,67
1,49,1,25,3,49
3,203,5,203,5,151
1,35,0,32,0,35
0,90,1,25,2,90
0,90,1,25,2,90
0,90,1,25,2,90
0,90,1,25,2,90
0,90,1,25,2,90
0,90,1,25,2,90
1,36,0,34,1,36
1,48,1,28,4,48
1,41,1,28,10,41
1,41,1,28,10,41
1,19,0,19,1,17
1,47,1,47,1,36
2,155,3,82,1,155
1,46,1,9,1,46
0,64,1,15,2,64
1,44,1,44,1,38
4,142,4,113,9,142
0,54,1,20,0,54
0,60,1,44,3,60
2,166,4,8,19,166
1,27,0,23,1,27
1,23,1,7,1,23
1,31,1,13,0,31
0,90,2,22,9,90
0,51,1,38,0,51
2,170,1,38,0,170
1,22,0,9,1,22
1,47,1,27,2,47
0,59,1,32,0,59
4,133,4,23,3,133
1,29,1,29,1,7
0,73,2,2,8,73
1,50,0,24,0,50
1,25,0,9,1,25
0,90,3,18,2,90
0,81,2,26,3,81
1,29,0,20,1,29
1,44,1,16,1,44
0,65,1,12,0,65
0,53,1,28,10,53
0,53,1,28,10,53
0,53,1,28,10,53
0,56,0,23,0,56
0,57,1,26,3,57
0,62,0,35,0,62
1,49,1,27,4,49
1,34,1,34,0,32
2,163,2,92,0,163
4,126,4,3,36,126
4,126,4,3,36,126
0,63,2,9,22,63
0,53,2,27,10,53
0,86,2,38,10,86
4,112,2,44,4,112
2,155,3,155,2,151
4,121,4,24,0,121
0,69,2,48,0,69
1,47,1,34,3,47
0,69,1,34,4,69
0,64,1,32,6,64
1,20,1,20,1,10
1,38,1,30,3,38
0,59,1,27,3,59
0,67,1,30,5,67
0,75,2,13,16,75
0,60,2,18,21,60
1,36,1,36,0,25
1,41,1,30,8,41
1,44,1,28,2,44
1,29,1,26,1,29
2,168,3,168,5,99
2,168,3,168,5,99
1,25,1,25,3,23
1,41,1,26,4,41
1,36,0,33,1,36
0,59,2,12,0,59
1,35,0,33,2,35
1,29,0,29,0,13
0,51,1,29,3,51
4,103,4,9,6,103
1,35,1,30,4,35
1,27,0,27,2,21
1,27,0,27,2,21
5,307,1,45,0,307
0,61,2,26,16,61
1,42,1,42,2,37
1,42,1,42,2,37
1,42,0,32,1,42
4,102,1,23,0,102
0,64,1,53,1,64
1,45,1,45,0,38
0,69,1,69,1,60
1,50,1,41,1,50
4,125,2,125,1,82
1,41,1,25,1,41
0,52,1,34,3,52
1,47,1,47,1,44
1,36,1,36,3,34
1,37,1,19,0,37
1,46,1,27,1,46
0,64,1,18,12,64
0,92,2,52,8,92
1,35,1,20,0,35
0,88,2,53,1,88
1,45,0,45,0,43
0,58,1,24,7,58
4,143,2,35,5,143
2,187,2,36,8,187
0,58,1,29,6,58
0,65,1,27,8,65
0,73,2,66,0,73
0,98,3,33,9,98
0,98,3,33,9,98
2,156,4,45,10,156
2,163,4,8,18,163
1,35,1,35,0,21
0,69,1,37,4,69
4,105,4,15,4,105
0,64,2,37,8,64
0,54,1,32,5,54
0,80,1,18,10,80
1,50,1,36,1,50
1,35,1,25,3,35
0,55,1,27,0,55
0,55,1,27,0,55
1,28,0,28,0,13
1,26,0,26,0,20
4,107,2,107,5,86
1,22,0,22,0,20
0,76,3,7,25,76
0,76,3,7,25,76
4,104,2,14,1,104
1,28,1,28,1,15
1,28,1,28,1,19
1,39,1,29,1,39
4,104,3,5,10,104
0,57,1,40,3,57
1,29,1,29,2,20
1,29,1,29,2,20
1,34,0,34,1,26
1,32,0,30,1,32
5,500,1,38,1,466
0,52,0,28,0,52
1,27,0,23,0,27
1,38,0,28,2,38
0,56,1,23,6,56
4,117,1,117,1,78
0,92,2,57,1,92
4,124,2,32,7,124
0,68,2,68,6,57
0,68,1,26,0,68
1,39,1,4,2,39
1,38,1,36,5,38
1,17,0,17,1,17
1,21,0,4,0,21
2,151,3,119,1,151
1,38,1,38,0,35
1,49,1,40,0,49
0,72,2,4,5,72
0,73,1,32,2,73
1,46,1,2,0,46
1,35,1,12,9,35
1,24,0,24,1,16
1,45,1,14,2,45
0,65,1,12,6,65
4,112,1,34,4,112
1,19,0,19,0,11
1,31,0,31,2,22
2,152,4,4,19,152
1,31,1,21,1,31
1,13,1,12,0,13
4,103,2,28,9,103
0,52,1,35,0,52
1,30,0,30,2,13
0,73,0,25,0,73
1,42,1,2,4,42
1,35,0,35,0,30
1,46,1,25,5,46
0,63,2,13,0,63
1,39,1,26,1,39
0,56,1,18,6,56
0,56,1,18,6,56
0,56,1,18,6,56
0,56,1,18,6,56
0,56,1,18,6,56
0,56,1,18,6,56
0,56,1,18,6,56
4,105,2,13,2,105
0,93,2,90,1,93
1,45,0,22,0,45
0,54,1,8,1,54
1,36,0,29,2,36
1,50,1,35,5,50
2,153,1,34,0,153
1,48,1,36,5,48
1,24,0,24,0,24
2,179,3,179,2,166
2,151,1,26,1,151
0,92,2,45,0,92
1,48,1,39,1,48
4,104,1,16,2,104
0,51,1,27,1,51
0,51,1,27,1,51
1,38,0,20,0,38
1,41,1,27,5,41
1,47,1,46,2,47
1,29,0,29,3,18
1,29,0,29,3,18
1,29,0,29,3,18
1,37,1,32,3,37
0,61,2,2,9,61
1,46,1,17,2,46
0,79,2,13,27,79
0,53,1,24,9,53
0,53,1,24,9,53
1,39,1,38,2,39
1,42,1,41,0,42
1,47,1,36,0,47
1,32,1,27,4,32
1,25,0,6,1,25
0,73,2,26,7,73
0,52,1,22,11,52
0,94,3,9,11,94
0,80,2,22,1,80
1,48,1,45,0,48
2,156,1,33,0,156
1,27,0,27,0,10
0,55,1,20,0,55
0,76,3,32,2,76
1,36,1,2,0,36
1,41,1,18,1,41
0,56,1,44,4,56
0,58,1,43,5,58
0,58,1,43,5,58
0,58,1,43,5,58
1,45,1,32,7,45
1,50,1,41,0,50
1,46,1,46,2,31
1,46,1,46,2,31
1,46,1,46,2,31
1,46,1,46,2,31
0,77,3,7,8,77
0,63,1,33,1,63
0,59,1,27,0,59
1,35,0,17,0,35
5,444,2,111,1,391
0,60,2,60,3,55
1,48,1,48,0,12
1,32,1,32,0,26
1,32,1,32,0,26
0,56,0,32,1,56
1,32,1,32,1,30
1,29,0,29,2,29
1,28,0,19,0,28
1,18,0,8,0,18
1,40,1,40,2,34
0,58,0,32,1,58
1,30,0,16,1,30
1,30,0,16,1,30
1,36,1,36,0,30
1,49,1,30,0,49
1,32,1,14,1,32
1,28,1,22,4,28
1,21,1,21,1,13
1,30,1,1,0,30
1,32,1,30,1,32
0,80,1,62,4,80
2,182,14,1,23,182
5,356,1,60,0,284
0,62,1,44,5,62
3,226,1,48,1,226
3,226,1,48,1,226
1,16,0,12,0,16
1,16,0,12,0,16
1,30,1,27,2,30
0,55,2,26,12,55
1,46,1,46,0,14
1,48,1,16,0,48
1,43,1,43,2,39
0,52,1,44,4,52
1,36,0,16,0,36
1,39,0,39,0,23
0,58,1,25,9,58
0,56,1,21,6,56
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
0,76,2,15,17,76
1,25,1,3,0,25
